Posicion,Canton,Provincia,Canton_N,Area_Km,Total_Hombres,Total_Mujeres,Población_Total,Densidad_Población
1,San José,San José,1,44.62,136371,151683,288054,6445.71
2,Alajuela,Alajuela,1,388.43,125773,129113,254886,656.20
3,Desamparados,San José,3,118.26,99974,108437,208411,1751.31
4,San Carlos,Alajuela,10,3347.98,82048,81697,163745,48.91
5,Cartago,Cartago,1,287.77,72491,75407,147898,513.95
6,Pérez Zeledón,San José,19,1905.51,65389,69145,134534,70.60
7,Pococí,Limón,2,2403.49,63273,62689,125962,52.41
8,Heredia,Heredia,1,282.60,58667,64949,123616,437.42
9,Puntarenas,Puntarenas,1,1842.33,57246,57773,115019,62.43
10,Goicoechea,San José,8,31.50,54269,60815,115084,3653.46
11,La Unión,Cartago,3,44.83,47946,51453,99399,2217.24
12,Limón,Limón,1,1765.79,45744,48671,94415,53.47
13,San Ramón,Alajuela,2,1018.64,39549,41017,80566,79.09
14,Alajuelita,San José,10,21.17,37347,40256,77603,3665.71
15,Turrialba,Cartago,5,1642.67,34415,35201,69616,42.38
16,Grecia,Alajuela,3,141.52,,,65824,465.12
17,Curridabat,San José,18,15.95,3059,34616,65206,4088.15
18,Tibás,San José,13,8.15,30264,34578,64842,7956.07
19,Liberia,Guanacaste,1,1436.47,30841,32146,62987,43.85
20,Vásquez de Coronado,San José,11,222.20,29147,31339,60486,272.21
21,Aserrí,San José,6,167.10,2833,29562,57892,346.45
22,Paraíso,Cartago,2,411.91,28268,29475,57743,140.18
23,Sarapiquí,Heredia,10,2140.54,29057,2809,57147,26.70
24,Siquirres,Limón,3,860.19,28755,28031,56786,66.02
25,Moravia,San José,14,28.62,26741,30178,56919,1988.78
26,Escazú,San José,2,34.39,2666,29849,56509,1643.18
27,Santa Cruz,Guanacaste,3,1312.27,27283,27821,55104,41.99
28,Nicoya,Guanacaste,2,1333.68,24987,25838,50825,38.11
29,Montes de Oca,San José,15,15.16,2291,26222,49132,3240.90
30,Santa Ana,San José,9,61.42,23499,25624,49123,799.79
31,San Rafael,Heredia,5,48.39,22424,23541,45965,949.89
32,Oreamuno,Cartago,7,202.31,22237,23236,45473,224.77
33,Buenos Aires,Puntarenas,3,2384.22,22809,22435,45244,18.98
34,Upala,Alajuela,13,1580.67,22021,21932,43953,27.81
35,Naranjo,Alajuela,6,126.62,20903,2181,42713,337.33
36,Corredores,Puntarenas,10,620.60,2072,21111,41831,67.40
37,El Guarco,Cartago,8,167.69,21057,20736,41793,249.23
38,Guácimo,Limón,6,576.48,20618,20648,41266,71.58
39,Barva,Heredia,2,53.80,1988,2078,4066,755.76
40,Santo Domingo,Heredia,3,24.84,19479,20593,40072,1613.20
41,Golfito,Puntarenas,7,1753.96,19799,19351,3915,22.32
42,Coto Brus,Puntarenas,8,933.91,19127,19326,38453,41.17
43,Matina,Limón,5,772.64,19592,18129,37721,48.82
44,Carrillo,Guanacaste,5,577.54,18598,18524,37122,64.28
45,Santa Bárbara,Heredia,4,53.21,17877,18366,36243,681.13
46,Palmares,Alajuela,7,38.06,17106,1761,34716,912.14
47,Puriscal,San José,4,553.00,16565,16439,33004,59.68
48,Talamanca,Limón,4,2809.93,15658,15054,30712,10.93
49,Osa,Puntarenas,5,1930.24,15038,14395,29433,15.25
50,Poás,Alajuela,8,73.84,14508,14691,29199,395.44
51,Esparza,Puntarenas,2,216.80,14074,1457,28644,132.12
52,San Pablo,Heredia,9,7.53,13344,14327,27671,3674.77
53,Quepos,Puntarenas,6,543.77,13829,13032,26861,49.40
54,Mora,San José,7,162.04,12714,1358,26294,162.27
55,Cañas,Guanacaste,6,682.20,1291,13291,26201,38.41
56,Atenas,Alajuela,5,127.19,12737,12723,2546,200.17
57,Los Chiles,Alajuela,14,1358.86,12125,1161,23735,17.47
58,Belén,Heredia,7,12.15,10495,11138,21633,1780.49
59,San Isidro,Heredia,6,26.96,10212,10421,20633,765.32
60,Orotina,Alajuela,9,141.92,9982,10359,20341,143.33
61,Acosta,San José,12,342.24,10217,9992,20209,59.05
62,Flores,Heredia,8,6.96,9811,10226,20037,2878.88
63,Tilarán,Guanacaste,8,638.39,9736,9904,1964,30.76
64,Bagaces,Guanacaste,4,1273.49,9854,9682,19536,15.34
65,La Cruz,Guanacaste,10,1383.90,944,9741,19181,13.86
66,Valverde Vega,Alajuela,12,120.25,8881,9204,18085,150.40
67,Abangares,Guanacaste,7,675.76,9014,9025,18039,26.69
68,Garabito,Puntarenas,11,316.31,8644,8585,17229,54.47
69,Tarrazú,San José,5,297.50,8091,8189,1628,54.72
70,Parrita,Puntarenas,9,478.79,8235,788,16115,33.66
71,Guatuso,Alajuela,15,758.32,7886,7622,15508,20.45
72,Jiménez,Cartago,4,286.43,7294,7375,14669,51.21
73,Alvarado,Cartago,6,81.06,7165,7147,14312,176.56
74,Montes de Oro,Puntarenas,4,244.76,6438,6512,1295,52.91
75,Zarcero,Alajuela,11,155.13,6103,6102,12205,78.68
76,León Cortés,San José,20,120.80,614,606,122,100.99
77,Nandayure,Guanacaste,9,565.59,5669,5452,11121,19.66
78,Río Cuarto,Alajuela,16,254.20,,,11074,
79,Hojancha,Guanacaste,11,261.42,3656,3541,7197,27.53
80,Dota,San José,17,400.22,3399,3549,6948,17.36
81,San Mateo,Alajuela,4,125.90,3128,3008,6136,48.74
82,Turrubares,San José,16,415.29,2852,266,5512,13.27
